driver_actions-safe_drive/1 9 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/6 13 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/5 158 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_right/1 65 9 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-hair_and_makeup/1 292 15 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/2 7 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/2 440 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/7 9 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/7 102 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/8 63 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/3 157 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/6 284 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/3 419 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/3 384 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/3 1570 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/8 13 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/5 123 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/6 53 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/4 330 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/7 107 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/8 45 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/10 9 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/10 16 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/9 59 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/9 20 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/4 77 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/12 18 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/11 12 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/12 11 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/13 19 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/5 59 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/13 12 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/14 47 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/15 29 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/17 10 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/14 18 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/16 17 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/15 24 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/4 179 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/17 27 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/16 80 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/4 201 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/11 291 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_right/2 501 9 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-phonecall_right/1 1246 10 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/9 1231 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/4 1200 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/18 16 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/19 14 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/19 29 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/20 13 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/21 90 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/1 37 16 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/20 43 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/7 63 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/23 10 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/21 12 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/6 63 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/1 55 7 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/2 102 17 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/23 111 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/2 20 16 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/8 42 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/22 16 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/24 144 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/5 173 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/9 44 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/2 167 7 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-drinking/1 86 13 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_right/3 25 9 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/3 38 17 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/24 26 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/22 239 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/25 22 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/26 39 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/25 288 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/6 278 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/5 272 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/5 1253 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/10 19 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/11 20 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/12 124 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/14 33 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/16 41 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/13 159 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/17 44 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/27 24 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/15 75 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/28 15 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/11 42 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/10 57 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/29 9 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/4 82 17 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/32 14 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/28 205 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/30 7 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/33 18 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/19 43 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/18 35 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/7 175 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/30 11 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/6 166 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/31 27 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/33 11 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/31 13 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/32 35 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/29 119 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_right/4 515 9 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-phonecall_right/2 1115 10 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/27 1113 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/6 710 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/35 11 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/34 14 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/35 49 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/36 18 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/39 14 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/39 44 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/38 20 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/12 50 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/40 28 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/36 34 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/43 26 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/44 30 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/3 109 7 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/37 12 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/38 18 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/37 35 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/8 171 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/44 11 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/41 11 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/41 202 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/40 31 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/3 33 16 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/42 67 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/4 16 16 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/20 26 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/9 58 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/7 153 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/13 45 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/42 39 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-hair_and_makeup/2 121 15 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/43 84 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/7 818 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/47 23 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/10 79 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/6 14 16 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/21 31 2 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/45 33 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/7 38 16 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/46 28 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/47 15 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/46 49 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/11 159 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/9 44 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/45 124 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/8 27 3 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/4 121 7 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/49 24 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-drinking/2 69 13 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/14 42 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/13 49 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-hair_and_makeup/3 137 15 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/5 226 7 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/8 32 16 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/12 29 8 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/48 24 1 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/16 51 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/9 34 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/49 171 0 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/15 110 14 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/5 31 17 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/8 237 5 {'age': 34, 'gender': 'Male', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
